rms_ch1,mav_ch1,mse_ch1,rms_ch2,mav_ch2,mse_ch2,label
0.04163336474437465,0.03320234604105571,0.0017333370599381382,0.048612384685508374,0.039199217986314754,0.002363163944811849,okay
0.04104393421158246,0.03287878787878787,0.001684604535564709,0.05072631076024514,0.03957399804496577,0.002573158603344962,okay
0.043755203133190014,0.034288954056695985,0.0019145178012267214,0.0502067279080539,0.03927741935483871,0.0025207155272333587,okay
0.04653433198863727,0.03668817204301075,0.0021654440536287094,0.04948087313463563,0.038742913000977514,0.0024483568061659062,okay
0.048915764742219155,0.03873548387096774,0.002392752040316131,0.048302936377103756,0.03759393939393938,0.002333173662650533,okay
0.049975564701355314,0.03943558162267838,0.0024975570672193513,0.04936942864356848,0.03891006842619745,0.0024373404845924,okay
0.04870966368742485,0.038849462365591385,0.0023726313365420356,0.0479132938927189,0.03796832844574779,0.002295683731650054,okay
0.047551516326660895,0.037302052785923745,0.0022611467049646976,0.047023120803164266,0.037335679374389044,0.00221117389006898,okay
0.04622126249667287,0.03606099706744867,0.002136405106786338,0.04735335824571562,0.03765083088954056,0.0022423405371470835,okay
0.0477775833361654,0.03694037145650048,0.0022826974694442293,0.044469078597326316,0.035405669599217975,0.0019774989512951853,okay
0.050556232172884956,0.03972003910068426,0.002555932611518648,0.04549150264996271,0.03625415444770282,0.0020694768133515647,okay
0.05176627420518383,0.04056226783968719,0.0026797471450862803,0.04122579282283323,0.033882111436950135,0.001699565993871168,okay
0.051572342544609205,0.04114173998044965,0.002659706515538509,0.042837677187069184,0.03482619745845551,0.0018350665867835477,okay
0.05011551171738869,0.03936187683284457,0.002511564514695723,0.04332537994059355,0.03520664711632453,0.0018770885469967863,okay
0.05008725446134632,0.039654349951124136,0.002508733059475657,0.044034873759235184,0.035513196480938404,0.0019390701069917796,okay
0.05072965330437632,0.04053958944281524,0.0025734977243822192,0.04453209614514817,0.03599178885630498,0.001983107587080721,okay
0.050356083822187335,0.039709481915933514,0.0025357351779071572,0.04596879973089964,0.03776187683284458,0.0021131305486995584,okay
0.0512418709607644,0.040678005865102625,0.00262572933955963,0.04598479439332031,0.0376496578690127,0.0021146013153959427,okay
0.05241752623460522,0.041700879765395896,0.002747597056555527,0.04568341878378496,0.03745845552297165,0.002086974751774676,okay
0.05199404117031169,0.0418891495601173,0.002703380317220067,0.0480920326055114,0.039184359726295206,0.0023128436001295712,okay
0.04980920263596311,0.03937223851417399,0.0024809566672304344,0.04699110490331283,0.03801837732160312,0.002208163940034151,okay
0.05014075735602845,0.03921290322580645,0.002514095548236121,0.04890299442032862,0.039942130987292275,0.002391502863274692,okay
0.04956629050688593,0.03891612903225806,0.0024568171546130104,0.047491691547237515,0.03862717497556206,0.0022554607660179513,okay
0.05192635920843518,0.039733333333333315,0.0026963467806434406,0.04798990887805442,0.03854643206256109,0.0023030313541239664,okay
0.050345608170777184,0.03926177908113391,0.0025346802620854264,0.04900137450507022,0.03989990224828934,0.0024011347033861463,okay
0.04917801419279899,0.038529814271749736,0.002418477079947139,0.04801593082147711,0.038954447702834794,0.0023055296126528752,okay
0.05032955550967688,0.03962443792766372,0.0025330641578016466,0.04849560392167773,0.03927898338220918,0.0023518235997282448,okay
0.04992796348012063,0.03855953079178885,0.002492801537272259,0.048781699140908304,0.03994956011730205,0.002379654171074094,okay
